Breed,Austin_breedname,AKC_group,size_cat
Silky Terrier,Silky Terrier,toy,small
Silky Terrier,Silkie,toy,small
Skye Terrier,Skye Terrier,terrier,small
Smooth Fox Terrier,Smooth Fox Terrier,terrier,small
Soft-Coated Wheaten Terrier,Soft-Coated Wheaten Terrier,terrier,medium
Soft-Coated Wheaten Terrier,Soft Coated Wheaten Terrier,terrier,medium
Spinone Italiano,Spinone Italiano,sporting,large
Staffordshire Bull Terrier,Staffordshire,terrier,medium
Standard Schnauzer,Standard Schnauzer,working,medium
Sussex Spaniel,Sussex Spaniel,sporting,small
Sussex Spaniel,Sussex Span,sporting,small
Swedish Vallhund,Swedish Vallhund,herding,small
Tibetan Mastiff,Tibetan Mastiff,working,large
Tibetan Spaniel,Tibetan Spaniel,non-sporting,small
Tibetan Terrier,Tibetan Terrier,non-sporting,small
Toy Fox Terrier,Toy Fox Terrier,toy,small
Treeing Cur,Treeing Cur,cur,medium
Treeing Walker Coonhound,Treeing Walker Coonhound,hound,medium
Vizsla,Vizsla,sporting,medium
Vizsla,Wirehaired Vizsla,sporting,medium
Weimaraner,Weimaraner,sporting,large
Welsh Springer Spaniel,Welsh Springer Spaniel,sporting,medium
Welsh Terrier,Welsh Terrier,terrier,small
West Highland White Terrier,West Highland White Terrier,terrier,small
West Highland White Terrier,West Highland,terrier,small
Whippet,Whippet,hound,medium
Wire Fox Terrier,Wire Hair Fox Terrier,terrier,small
Wirehaired Pointing Griffon,Wirehaired Pointing Griffon,sporting,medium
Wolf Hybrid,Wolf Hybrid,misc,large
Xoloitzcuintli,Mexican Hairless,non-sporting,medium
Yorkshire Terrier,Yorkshire,toy,small
Yorkshire Terrier,Yorkshire Terrier,toy,small
English Bulldog,Old English Bulldog,non-working,medium
Dogo Argentino,Dogo Argentino,working,large
Portuguese Podengo Pequeno,Podengo Pequeno,hound,small
Patterdale Terrier,Patterdale Terr,terrier,small
Berger Picard,Picardy Sheepdog,herding,medium
Newfoundland,Landseer,working,large
English Shepherd,English Shepherd,herding,medium
Treeing Tennesse Brindle,Treeing Tennesse Brindle,cur,medium
Anatolian Shepherd Dog,Kangal,working,large
Cirneco dell'Etna,Cirneco,hound,medium
Spanish Mastiff,Spanish Mastiff,working,large
Spanish Water Dog,Spanish Water Dog,herding,medium
Grand Basset Griffon Vendeen,Grand Basset Griffon Vendeen,hound,medium
Alaskan Klee Kai,Alaskan Klee Kai,non-sporting,small
Hovawart,Hovawart,working,large
